response_1_word_count,response_2_word_count,word_count_prediction_difference,response_1_valence,response_2_valence,valence_prediction_difference,response_1_arousal,response_2_arousal,arousal_prediction_difference,response_1_dominance,response_2_dominance,dominance_prediction_difference,response_1_concreteness,response_2_concreteness,concreteness_prediction_difference,response_1_link_count,response_2_link_count,link_count_prediction_difference
161,364,-203,0.28325,0.5385454545454545,-0.25529545454545455,0.94075,0.898875,0.041874999999999996,0.9558333333333333,0.8420416666666666,0.11379166666666674,0.8187692307692308,0.838076923076923,-0.019307692307692248,0,1,-1
148,119,-29,0.7459,0.9583333333333333,0.21243333333333325,0.9219999999999999,0.9815,0.05950000000000011,0.9126666666666667,0.7534,-0.15926666666666678,0.8628,0.8232307692307691,-0.03956923076923091,3,0,-3
384,495,111,0.858675,0.7205769230769231,-0.13809807692307685,0.8644999999999999,0.38616666666666666,-0.4783333333333333,0.8771,0.8905000000000001,0.013400000000000079,0.833913043478261,0.8313478260869568,-0.0025652173913042198,0,0,0
103,80,-23,0.6997777777777777,0.9027999999999999,0.20302222222222222,0.6936666666666667,0.118,-0.5756666666666667,0.707,0.8905000000000001,0.1835000000000001,0.87,0.8106666666666668,-0.05933333333333324,0,0,0
110,111,-1,0.744,0.27399999999999997,0.47000000000000003,0.923,0.74325,0.17975000000000008,0.88425,0.8745,0.009749999999999925,0.844,0.884888888888889,-0.040888888888888975,0,0,0
135,50,85,0.448,0.0,0.448,0.448,0.0,0.448,0.7521666666666667,0.886,-0.13383333333333336,0.81875,0.8308571428571427,-0.01210714285714276,0,0,0
79,55,-24,0.901,0.04199999999999998,-0.859,0.07400000000000001,0.505,0.431,0.854,0.8881666666666665,0.03416666666666657,0.8675555555555555,0.9079999999999999,0.040444444444444394,0,0,0
245,140,-105,0.5308461538461539,0.8134,0.28255384615384616,0.08750000000000002,0.0,-0.08750000000000002,0.678125,0.863,0.184875,0.8419090909090908,0.8556190476190475,0.013709956709956672,1,0,-1
114,116,2,0.474,0.875,0.401,0.852,0.0,-0.852,0.9764999999999999,0.854,-0.12249999999999994,0.8140000000000001,0.8554545454545456,0.04145454545454552,0,0,0
226,253,27,0.5748333333333333,0.502576923076923,-0.07225641025641028,0.0,0.5001249999999999,0.5001249999999999,0.599125,0.5621,-0.037024999999999975,0.8511818181818183,0.8767692307692306,0.025587412587412373,0,0,0
276,172,-104,0.566625,0.77825,0.21162499999999995,0.5422857142857143,0.044999999999999984,-0.4972857142857143,0.8099000000000001,0.5462,-0.26370000000000005,0.8071904761904762,0.8315294117647057,0.024338935574229503,0,0,0
378,359,-19,0.7558157894736842,0.8350588235294117,0.07924303405572752,0.683875,0.7329166666666667,0.04904166666666665,0.8835454545454546,0.8972,0.013654545454545364,0.8258333333333333,0.842086956521739,0.01625362318840573,0,0,0
440,322,118,0.62675,0.8084375,-0.1816875,0.5303125,0.47925,0.051062499999999955,0.8636666666666666,0.9184,-0.05473333333333341,0.8282790697674418,0.8423333333333333,-0.014054263565891456,0,0,0
447,77,370,0.5598928571428572,0.90825,-0.3483571428571428,0.7928333333333333,0.0,0.7928333333333333,0.882,0.907,-0.025000000000000022,0.8192,0.834,-0.014799999999999924,0,0,0
267,362,-95,0.7590625,0.6936,0.06546249999999998,0.8776666666666666,0.8324,0.045266666666666566,0.87225,0.6888125,0.18343749999999992,0.9059090909090909,0.8814242424242423,0.024484848484848554,5,1,4
466,231,-235,0.8354310344827587,0.927625,0.09219396551724135,0.486625,0.2846666666666666,-0.20195833333333335,0.8701578947368421,0.494,-0.37615789473684214,0.8657101449275363,0.8182352941176471,-0.047474850809889224,0,0,0
177,441,-264,0.9055714285714287,0.7218749999999999,0.18369642857142876,0.896,0.31366666666666665,0.5823333333333334,0.8766666666666667,0.6840384615384615,0.19262820512820522,0.8682857142857143,0.7902702702702702,0.07801544401544414,0,6,-6
157,116,-41,0.37793750000000004,0.24825000000000003,-0.1296875,0.8894000000000001,0.669,-0.22040000000000004,0.918875,0.861,-0.05787500000000001,0.8121428571428572,0.7884285714285715,-0.023714285714285688,0,0,0
101,55,-46,0.6093333333333333,0.4048,-0.2045333333333333,0.9410000000000001,0.605,-0.3360000000000001,0.0,0.8603333333333334,0.8603333333333334,0.8799999999999999,0.87,-0.009999999999999898,0,0,0
63,61,2,0.906,0.4242,0.4818,0.0,0.5,-0.5,0.89925,0.0,0.89925,0.808,0.8388000000000002,-0.03080000000000016,0,0,0
